Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
85,21,1,173,8,Some Random Commen with Id 85
86,21,1,16,8,Some Random Commen with Id 86
87,21,1,89,7,Some Random Commen with Id 87
88,21,1,169,9,Some Random Commen with Id 88
89,21,1,134,2,Some Random Commen with Id 89
90,21,1,155,4,Some Random Commen with Id 90
91,21,1,139,7,Some Random Commen with Id 91
92,22,7,194,9,Some Random Commen with Id 92
93,23,5,109,1,Some Random Commen with Id 93
94,23,5,77,8,Some Random Commen with Id 94
95,24,7,37,1,Some Random Commen with Id 95
96,24,7,117,3,Some Random Commen with Id 96
97,25,1,133,6,Some Random Commen with Id 97
98,25,1,180,0,Some Random Commen with Id 98
99,26,2,199,5,Some Random Commen with Id 99
100,26,2,27,6,Some Random Commen with Id 100
101,27,9,15,0,Some Random Commen with Id 101
102,27,9,57,9,Some Random Commen with Id 102
103,28,8,16,9,Some Random Commen with Id 103
104,28,8,174,7,Some Random Commen with Id 104
105,28,8,193,5,Some Random Commen with Id 105
106,28,8,174,7,Some Random Commen with Id 106
107,29,7,38,7,Some Random Commen with Id 107
108,29,7,138,6,Some Random Commen with Id 108
109,29,7,198,9,Some Random Commen with Id 109
110,29,7,113,1,Some Random Commen with Id 110
111,30,8,67,9,Some Random Commen with Id 111
112,30,8,67,8,Some Random Commen with Id 112
113,30,8,113,0,Some Random Commen with Id 113
114,31,2,26,4,Some Random Commen with Id 114
115,31,2,134,8,Some Random Commen with Id 115
116,31,2,90,7,Some Random Commen with Id 116
117,31,2,132,2,Some Random Commen with Id 117
118,31,2,61,9,Some Random Commen with Id 118
119,31,2,29,6,Some Random Commen with Id 119
120,31,2,70,9,Some Random Commen with Id 120
121,33,0,13,1,Some Random Commen with Id 121
122,33,0,131,1,Some Random Commen with Id 122
123,33,0,191,9,Some Random Commen with Id 123
124,33,0,152,4,Some Random Commen with Id 124
125,33,0,65,5,Some Random Commen with Id 125
126,33,0,22,1,Some Random Commen with Id 126
127,34,1,175,0,Some Random Commen with Id 127
128,34,1,1,1,Some Random Commen with Id 128
129,34,1,84,9,Some Random Commen with Id 129
130,34,1,74,2,Some Random Commen with Id 130
131,34,1,133,5,Some Random Commen with Id 131
132,34,1,51,1,Some Random Commen with Id 132
133,35,4,140,8,Some Random Commen with Id 133
134,35,4,19,0,Some Random Commen with Id 134
135,35,4,118,5,Some Random Commen with Id 135
136,35,4,6,8,Some Random Commen with Id 136
137,36,6,27,8,Some Random Commen with Id 137
138,36,6,65,9,Some Random Commen with Id 138
139,36,6,46,8,Some Random Commen with Id 139
140,36,6,14,4,Some Random Commen with Id 140
141,36,6,145,4,Some Random Commen with Id 141
142,36,6,96,4,Some Random Commen with Id 142
143,36,6,49,8,Some Random Commen with Id 143
144,36,6,60,3,Some Random Commen with Id 144
145,38,5,37,5,Some Random Commen with Id 145
146,38,5,144,3,Some Random Commen with Id 146
147,38,5,194,2,Some Random Commen with Id 147
148,38,5,60,9,Some Random Commen with Id 148
149,39,5,84,7,Some Random Commen with Id 149
150,39,5,183,8,Some Random Commen with Id 150
151,39,5,0,4,Some Random Commen with Id 151
152,39,5,163,3,Some Random Commen with Id 152
153,39,5,23,0,Some Random Commen with Id 153
154,39,5,94,8,Some Random Commen with Id 154
155,39,5,54,1,Some Random Commen with Id 155
